dataset,scenario,error_rate,subset_source,task_type,model_type,target,detector_mode,benchmark_assisted_detection,raha_used,episodes,rf_estimators,rf_max_depth,rf_n_jobs,reward_eval_interval,eval_sample_ratio,ve_source,delete_policy,uniclean_scope,detector_expansion,max_detector_expansion,verifier_policy,verifier_selected,expanded_semantic_errors,seed,rows,dropped_rows,feature_count,categorical_feature_count,action_counts,repair_plan_size,uniclean_candidate_repairs,uniclean_cached,uniclean_cleaned_csv,repair_fallback_count,policy_override_count,runtime_seconds,verifier_candidate_cleaned_csv,verifier_candidate_fixed_before,verifier_candidate_fixed_after,verifier_candidate_fixed_delta,verifier_candidate_repair_f1,downstream_before,downstream_after,downstream_delta,downstream_fixed_before,downstream_fixed_after,downstream_fixed_delta,downstream_fixed_train_rows_after,downstream_fixed_test_rows,cell_dirty_errors,cell_changed,repair_precision,repair_recall,repair_f1,run_dir
flights,original,,,classification,random_forest,arrival_delay_bucket,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000,rollback_no_improve,no_op_rollback,1122,42,1083,1293,6,6,"{'no_action': 23, 'repair_value': 28, 'delete': 384, 'replace_nearby': 687}",28,2080,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/2_flights_cleaned_by_uniclean.csv,0,384,188.389824959,outputs/experiments_20260519_verifier/adsclean/original/native/flights/20260519-204244/candidate_cleaned.csv,0.9854369009933728,0.866027412235304,-0.1194094887580687,0.4684767602393005,0.915000755687032,0.915000755687032,0.0,0.9854369009933728,0.9854369009933728,0.0,758,325,1051.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_verifier/adsclean/original/native/flights/20260519-204244
rayyan,original,,,classification,random_forest,article_language,benchmark,True,False,300,10,,-1,200,0.5,uniclean,uniclean_repair,row,uniclean_diff,5000,rollback_no_improve,no_op_rollback,695,42,642,358,9,7,"{'no_action': 548, 'repair_value': 0, 'delete': 603, 'replace_nearby': 0}",0,1397,True,result_assets/UnicleanResult/Uniclean_cleaned_data/original_error_cleaned_data/4_rayyan_cleaned_by_uniclean.csv,0,603,311.43517075,outputs/experiments_20260519_verifier/adsclean/original/native/rayyan/20260519-204554/candidate_cleaned.csv,0.1537615046018407,0.1322222222222222,-0.0215392823796185,0.5860113421550094,0.1625147579693034,0.1625147579693034,0.0,0.1537615046018407,0.1537615046018407,0.0,449,193,723.0,0.0,0.0,0.0,0.0,outputs/experiments_20260519_verifier/adsclean/original/native/rayyan/20260519-204554
